episode,start,text
https://www.youtube.com/watch?v=aGHsDnebiIk,0.0,Wie is er kleiner? Veggie of Nala?
https://www.youtube.com/watch?v=aGHsDnebiIk,5.102,Nala is kleiner dan Veggie.
https://www.youtube.com/watch?v=aGHsDnebiIk,8.869,En inclusief dit katje. Welke is er dan het kleinst?
https://www.youtube.com/watch?v=aGHsDnebiIk,14.265,"Ikke ikke, ikke, ikke! Het witte kat je is het kleinst!"
https://www.youtube.com/watch?v=aGHsDnebiIk,23.97,"Hallo allemaal, Dutchies to be!"
https://www.youtube.com/watch?v=aGHsDnebiIk,26.961,In deze video gaan we dingen met elkaar vergelijken.
https://www.youtube.com/watch?v=aGHsDnebiIk,31.192,En je kunt dit niveaus of trappen van vergelijking noemen
https://www.youtube.com/watch?v=aGHsDnebiIk,38.057,en in het Nederlands hebben we ook de termen: comparatief en superlatief.
https://www.youtube.com/watch?v=aGHsDnebiIk,44.881,"In de intro vergeleken wij Veggie, Nala en het witte katje met elkaar."
https://www.youtube.com/watch?v=aGHsDnebiIk,52.082,"En we zeiden: ""Nala is kleiner dan Veggie."""
https://www.youtube.com/watch?v=aGHsDnebiIk,58.418,"En: ""het witte katje is het kleinst."""
https://www.youtube.com/watch?v=aGHsDnebiIk,63.94,Nu is KLEINER de comparatief en KLEINST is de superlatief.
https://www.youtube.com/watch?v=aGHsDnebiIk,71.035,In deze video gaan we kijken hoe je dus deze vormen kunt maken en hoe je ze kan gebruiken.
https://www.youtube.com/watch?v=aGHsDnebiIk,78.926,Maar dit is deel 1 over de comparatief en superlatief.
https://www.youtube.com/watch?v=aGHsDnebiIk,83.835,"Ik zal later nog een andere video maken waarin 
we nog net iets dieper duiken in de materie."
https://www.youtube.com/watch?v=aGHsDnebiIk,90.828,"De basis van een comparatief en superlatief is 
altijd een adjectief of adverbium"
https://www.youtube.com/watch?v=aGHsDnebiIk,97.816,en we noemen dit ook wel een bijvoeglijk naamwoord en bijwoord.
https://www.youtube.com/watch?v=aGHsDnebiIk,103.551,En dat hebben we ook gezien in KLEINER en KLEINST.
https://www.youtube.com/watch?v=aGHsDnebiIk,108.237,"De basis van de comparatief en superlatief 
hier is namelijk het adjectief KLEIN."
https://www.youtube.com/watch?v=aGHsDnebiIk,114.569,ln les 16 van de beginnerscursus heb ik jullie heel heel heel belangrijke adjectieven geleerd.
https://www.youtube.com/watch?v=aGHsDnebiIk,122.834,En als je de video daarover wilt kijken - deze video - dan moet je in de beschrijving kijken naar de link om deze belangrijk adjectieven te leren.
https://www.youtube.com/watch?v=aGHsDnebiIk,133.945,En van al deze adjectieven kun je dus comparatieven en superlatieven maken.
https://www.youtube.com/watch?v=aGHsDnebiIk,140.002,"De meeste comparatieven en superlatieven 
zijn regelmatig."
https://www.youtube.com/watch?v=aGHsDnebiIk,144.789,En die maak je als volgt: je hebt het basisadjectief en dan plak je -ER daarachter voor de comparatief.
https://www.youtube.com/watch?v=aGHsDnebiIk,154.866,"Zoals: ""klein"" > ""kleiner""."
https://www.youtube.com/watch?v=aGHsDnebiIk,158.377,En voor de superlatief plak je -ST of -STE achter het basisadjectief.
https://www.youtube.com/watch?v=aGHsDnebiIk,167.185,"Zoals ""klein"" > ""kleinst"" of ""kleinste""."
https://www.youtube.com/watch?v=aGHsDnebiIk,173.45,"In de constructies die ik vandaag laat zien kun je 
allebei de opties gebruiken."
https://www.youtube.com/watch?v=aGHsDnebiIk,180.051,Dus jij mag kiezen en ze zijn allebei goed!
https://www.youtube.com/watch?v=aGHsDnebiIk,183.415,Ik ga nog een aantal vragen stellen aan mijn deelnemers om te laten zien hoe wij dus deze twee vormen gebruiken.
https://www.youtube.com/watch?v=aGHsDnebiIk,191.065,"""Wat is SNELLER? Een schildpad of een auto?"""
https://www.youtube.com/watch?v=aGHsDnebiIk,196.284,"""Een schildpad, nee, een auto is SNELLER dan een schildpad."" "
https://www.youtube.com/watch?v=aGHsDnebiIk,204.307,"En van deze auto's: welke is het SNELST?"""
https://www.youtube.com/watch?v=aGHsDnebiIk,209.971,"""De Ferrari is het SNELST."""
https://www.youtube.com/watch?v=aGHsDnebiIk,213.251,Dus we zien hier: snel - sneller - snelst.
https://www.youtube.com/watch?v=aGHsDnebiIk,217.697,"""Kim, wat vind je LEKKERDER: andijviestamppot of boerenkoolstamppot?"""
https://www.youtube.com/watch?v=aGHsDnebiIk,224.02,"""Ik vind andijviestamppot LEKKERDER dan boerenkoolstamppot."""
https://www.youtube.com/watch?v=aGHsDnebiIk,231.386,"""En Kim, welke stamppot vind jij het LEKKERST?"""
https://www.youtube.com/watch?v=aGHsDnebiIk,236.055,"""Ik vind mijn oma's preistamppot het LEKKERST!"""
https://www.youtube.com/watch?v=aGHsDnebiIk,241.46,Dus: lekker - lekkerder - lekkerst.
https://www.youtube.com/watch?v=aGHsDnebiIk,244.721,"En hier: ""Welk huis is groter: A of B?"""
https://www.youtube.com/watch?v=aGHsDnebiIk,250.789,"""Huis A is GROTER dan huis B."""
https://www.youtube.com/watch?v=aGHsDnebiIk,254.811,"""Ja, maar huis C is het GROOTST!"""
https://www.youtube.com/watch?v=aGHsDnebiIk,258.161,"Laten we goed kijken naar deze drie voorbeelden met ""snel"", ""lekker"" en ""groot""."
https://www.youtube.com/watch?v=aGHsDnebiIk,264.886,"We zien eerst dat bij nummer 1 en 3 ""snel"" en ""groot"" een beetje veranderen qua spelling in de comparatief."
https://www.youtube.com/watch?v=aGHsDnebiIk,276.12,SNEL met één L - SNELLER met twee L'en.
https://www.youtube.com/watch?v=aGHsDnebiIk,280.627,En GROOT met twee O's en GROTER met één O.
https://www.youtube.com/watch?v=aGHsDnebiIk,286.984,"Als je meer wilt leren over spellingsveranderingen in het Nederlands, kijk dan deze video."
https://www.youtube.com/watch?v=aGHsDnebiIk,295.042,Want we gaan nu niet verder daarop in.
https://www.youtube.com/watch?v=aGHsDnebiIk,298.594,Maar je ziet dus dat soms de spelling kan veranderen.
